geo\time,2003,2004,2005,2006,2007,2008,2009,2010,2011
EU (27 countries),NA,NA,"16,4","16,5","16,5","16,4","16,3","16,4",NA
Euro area (17 countries),NA,NA,"15,2","15,5","16,3","15,8","15,9","16,1",NA
Euro area (16 countries),NA,NA,"15,2","15,4","16,2","15,8","15,9","16,1",NA
Belgium,"15,4","14,3","14,8","14,7","15,2","14,7","14,6","14,6",NA
Bulgaria,14,15,14,"18,4",22,"21,4","21,8","20,7",NA
Czech Republic,NA,NA,"10,4","9,9","9,6",9,"8,6",9,NA
Denmark,"11,7","10,9","11,8","11,7","11,7","11,8","13,1","13,3",NA
Germany,NA,NA,"12,2","12,5","15,2","15,2","15,5","15,6",NA
Estonia,18,"20,2","18,3","18,3","19,4","19,5","19,7","15,8",NA
Ireland,"20,5","20,9","19,7","18,5","17,2","15,5",15,"16,1",NA
Greece,"20,7","19,9","19,6","20,5","20,3","20,1","19,7","20,1",NA
Spain,19,"19,9","19,7","19,9","19,7","19,6","19,5","20,7",NA
France,12,"13,5",13,"13,2","13,1","12,7","12,9","13,3",NA
Italy,NA,"19,1","18,9","19,6","19,9","18,7","18,4","18,2",NA
Cyprus,15,NA,"16,1","15,6","15,5","15,7","15,3","15,8",NA
Latvia,NA,NA,"19,2","23,1","21,2","25,6","25,7","21,3","19,3"
Lithuania,NA,NA,"20,5",20,"19,1",20,"20,6","20,2",NA
Luxembourg,"11,9","12,7","13,7","14,1","13,5","13,4","14,9","14,5",NA
Hungary,12,NA,"13,5","15,9","12,3","12,4","12,4","12,3",NA
Malta,NA,NA,"13,9",14,"14,8",15,"15,3","15,5",NA
Netherlands,12,NA,"10,7","9,7","10,2","10,5","11,1","10,3",NA
Austria,"13,2","12,8","12,3","12,6",12,"12,4",12,"12,1",NA
Poland,NA,NA,"20,5","19,1","17,3","16,9","17,1","17,6",NA
Portugal,19,"20,4","19,4","18,5","18,1","18,5","17,9","17,9",NA
Romania,17,18,NA,NA,"24,8","23,4","22,4","21,1",NA
Slovenia,10,NA,"12,2","11,6","11,5","12,3","11,3","12,7",NA
Slovakia,NA,NA,"13,3","11,6","10,6","10,9",11,12,NA
Finland,11,11,"11,7","12,6",13,"13,6","13,8","13,1",NA
Sweden,NA,"11,3","9,5","12,3","10,5","12,2","13,3","12,9",NA
United Kingdom,18,NA,19,19,"18,6","18,7","17,3","17,1",NA
Iceland,NA,10,"9,7","9,6","10,1","10,1","10,2","9,8",NA
Norway,"10,8","10,8","11,4","12,3","11,9","11,4","11,7","11,2",NA
Switzerland,NA,NA,NA,NA,NA,"16,2","15,1",15,NA
