geo\time,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EU (27 countries),20500,20700,21700,22500,23700,25000,25000,23500,24400,25100
Euro area (changing composition),23000,23100,23900,24800,26100,27400,27400,25600,26500,27100
Euro area (17 countries),22700,22800,23600,24500,25800,27200,27200,25500,26400,27100
Euro area (16 countries),22800,22900,23700,24600,25800,27200,27300,25600,26500,27200
Belgium,25700,25600,26300,27000,27900,28900,29000,27700,29000,29700
Bulgaria,6500,7000,7500,8200,9000,10000,10900,10300,10700,NA
Czech Republic,15000,15900,16900,17800,18900,20700,20200,19300,19400,20000
Denmark,26300,25700,27200,27800,29300,30600,31100,28900,31000,31400
Germany,23400,24000,25000,26000,27300,28900,29000,27200,28800,30100
Estonia,10200,11300,12400,13800,15600,17500,17300,14900,15700,16800
Ireland,28400,29400,31000,32600,34600,36900,33300,30000,31100,NA
Greece,18500,19200,20300,20400,21800,22500,23100,22100,21900,20700
Spain,20600,20900,21900,22900,24800,26200,25900,24200,24500,24900
France,23600,23100,23700,24700,25600,26900,26700,25400,26300,27000
Italy,23000,23000,23200,23700,24700,26000,26100,24300,24600,25300
Cyprus,18000,18200,19500,20700,21800,23300,24600,22900,23200,23000
Latvia,8300,8900,9900,10800,12200,13900,14100,12000,13400,14700
Lithuania,9100,10200,11000,11900,13100,14800,15400,12800,14000,15500
Luxembourg,49200,51300,54700,57200,64000,68600,69700,62500,66300,68900
Hungary,12500,13000,13600,14200,14900,15400,16000,15200,15800,16500
Malta,16500,16600,16800,17600,18100,19000,19800,19300,20200,21100
Netherlands,27300,26800,28000,29400,31000,33100,33600,31000,32400,32900
Austria,26000,26500,27700,28200,29800,30900,31100,29400,30800,32299
Poland,9900,10100,11000,11500,12300,13600,14100,14300,15300,NA
Portugal,16400,16400,16700,17900,18700,19600,19500,18800,19500,19400
Romania,6000,6500,7400,7900,9100,10400,11700,11000,11400,NA
Slovenia,16900,17300,18800,19600,20700,22100,22700,20500,20700,21000
Slovakia,11100,11500,12300,13500,15000,16900,18100,17000,17900,18400
Finland,23500,23300,25200,25700,27000,29400,29800,26900,28000,28900
Sweden,25000,25700,27400,27400,29100,31200,31000,28100,30300,31700
United Kingdom,24500,25200,26700,27600,28600,29100,28200,26100,27400,27300
Iceland,26600,26000,28400,29300,29200,30200,30900,27600,27100,27700
Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,31700,32299,35800,39900,43800,45300,48000,41200,44200,47500
Switzerland,29300,28900,30000,30700,32900,36000,37200,34900,37400,39500
