geo\time,2003,2004,2005,2006,2007,2008,2009,2010,2011
EU (27 countries),NA,NA,"10,7","9,8","9,1","8,4","8,1","8,1",NA
Euro area (17 countries),NA,NA,"5,6","5,5","5,3","5,7","5,6","5,6",NA
Euro area (16 countries),NA,NA,"5,6","5,5","5,3","5,7","5,6","5,6",NA
Belgium,"4,5","4,7","6,5","6,4","5,7","5,6","5,2","5,9",NA
Bulgaria,NA,NA,NA,"57,7","57,6","41,2","41,9",35,NA
Czech Republic,NA,NA,"11,8","9,6","7,4","6,8","6,1","6,2",NA
Denmark,2,"2,9","3,2","3,1","3,3",2,"2,3","2,7",NA
Germany,NA,NA,"4,6","5,1","4,8","5,5","5,4","4,5",NA
Estonia,NA,"9,4","12,4",7,"5,6","4,9","6,2",9,NA
Ireland,"5,6","4,8","5,1","4,8","4,5","5,5","6,1","7,5",NA
Greece,"16,9","14,1","12,8","11,5","11,5","11,2",11,"11,6",NA
Spain,NA,"4,3","3,4","3,4",3,"2,5","3,5",4,NA
France,NA,"6,1","5,3",5,"4,7","5,4","5,6","5,8",NA
Italy,NA,"6,9","6,4","6,3","6,8","7,5",7,"6,9",NA
Cyprus,NA,NA,"12,2","12,6","13,3","8,8","9,5","9,8",NA
Latvia,NA,NA,"38,9","30,6","24,9",19,"21,9","27,4","30,9"
Lithuania,NA,NA,"32,6","25,3","16,6","12,3","15,1","19,5",NA
Luxembourg,"1,9","0,8","1,8","1,1","0,8","0,7","1,1","0,5",NA
Hungary,NA,NA,"22,9","20,9","19,9","17,9","20,3","21,6",NA
Malta,NA,NA,"5,5","3,7","4,2",4,"4,7","5,7",NA
Netherlands,NA,NA,"2,5","2,3","1,7","1,5","1,4","2,2",NA
Austria,"3,3","3,4",3,"3,6","3,3","6,4","4,8","4,3",NA
Poland,NA,NA,"33,8","27,6","22,3","17,7",15,"14,2",NA
Portugal,NA,"9,9","9,3","9,1","9,6","9,7","9,1",9,NA
Romania,NA,NA,NA,NA,"36,5","32,9","32,2",31,NA
Slovenia,NA,NA,"5,1","5,1","5,1","6,7","6,1","5,9",NA
Slovakia,NA,NA,"22,1","18,2","13,7","11,8","11,1","11,4",NA
Finland,NA,"3,8","3,8","3,3","3,6","3,5","2,8","2,8",NA
Sweden,NA,3,"2,3","2,1","2,2","1,4","1,6","1,3",NA
United Kingdom,NA,NA,"5,3","4,5","4,2","4,5","3,3","4,8",NA
Iceland,NA,"2,5","2,7","2,1","2,1","0,8","0,8","1,8",NA
Norway,"3,2","2,7","3,5","2,8","2,3",2,"2,2",2,NA
Switzerland,NA,NA,NA,NA,NA,"2,2","2,1","1,7",NA
