geo\time,2003,2004,2005,2006,2007,2008,2009,2010,2011
EU (27 countries),NA,NA,51729,47908,44374,41435,39763,40089,NA
Euro area (17 countries),NA,NA,17740,17467,16958,18297,18200,18199,NA
Euro area (16 countries),NA,NA,17575,17373,16883,18232,18117,18080,NA
Belgium,460,495,673,672,602,595,555,628,NA
Bulgaria,NA,NA,NA,4451,4426,3151,3184,2644,NA
Czech Republic,NA,NA,1190,980,750,696,635,644,641
Denmark,107,157,171,169,175,107,124,145,NA
Germany,NA,NA,3733,4138,3947,4442,4360,3672,NA
Estonia,NA,126,166,94,75,65,83,119,NA
Ireland,223,195,213,205,195,243,274,336,NA
Greece,1789,1500,1365,1236,1238,1213,1198,1269,NA
Spain,NA,1796,1473,1490,1329,1150,1582,1814,NA
France,NA,3536,3120,2946,2824,3253,3372,3530,NA
Italy,NA,3991,3762,3696,4039,4494,4211,4157,NA
Cyprus,NA,NA,90,96,103,69,75,78,NA
Latvia,NA,NA,865,688,555,425,489,609,682
Lithuania,NA,NA,1110,856,558,414,502,648,NA
Luxembourg,8,4,8,5,4,3,5,3,NA
Hungary,NA,NA,2272,2077,1971,1771,2009,2129,NA
Malta,NA,NA,22,15,17,16,19,23,NA
Netherlands,NA,NA,403,370,279,252,237,366,NA
Austria,264,277,248,293,269,524,395,356,NA
Poland,NA,NA,12752,10445,8415,6680,5625,5331,NA
Portugal,NA,1032,979,958,1015,1029,965,958,NA
Romania,NA,NA,NA,NA,7879,7023,6817,6643,6286
Slovenia,NA,NA,100,102,100,130,121,119,122
Slovakia,NA,NA,1189,980,739,636,601,621,NA
Finland,NA,194,195,172,185,181,148,150,170
Sweden,NA,269,216,192,197,132,144,125,NA
United Kingdom,NA,NA,3083,2704,2491,2739,2034,2972,NA
Iceland,NA,7,8,6,6,3,3,5,NA
Norway,144,123,162,128,108,92,105,98,NA
