geo\time,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
EU (27 countries),483797028,484635119,486646114,488797929,491134938,493210397,495291925,497686132,499686575,501104164,502057928,NA
Euro area (17 countries),315413267,316972081,318909529,320931192,323030150,324813716,326560819,328487175,329972960,330910007,331880912,332839084
Euro area (16 countries),314046308,315610839,317553484,319580123,321682640,323469032,325218410,327146240,328632545,329569880,330540718,331499422
Belgium,10263414,10309725,10355844,10396421,10445852,10511382,10584534,10666866,10753080,10839905,10951266,11041266
Bulgaria,8149468,7891095,7845841,7801273,7761049,7718750,7679290,7640238,7606551,7563710,7369431,7327224
Czech Republic,10266546,10206436,10203269,10211455,10220577,10251079,10287189,10381130,10467542,10506813,10485489,10504203
Denmark,5349212,5368354,5383507,5397640,5411405,5427459,5447084,5475791,5511451,5534738,5552037,5580516
Germany,82259540,82440309,82536680,82531671,82500849,82437995,82314906,82217837,82002356,81802257,81751602,81843809
Estonia,1366959,1361242,1356045,1351069,1347510,1344684,1342409,1340935,1340415,1340127,1340194,1339662
Ireland,3832783,3899702,3964191,4028851,4111672,4208156,4312526,4401335,4450030,4467854,4480858,4495351
Greece,10931206,10968708,11006377,11040650,11082751,11125179,11171740,11213785,11260402,11305118,11309885,11290785
Spain,40476723,40964244,41663702,42345342,43038035,43758250,44474631,45283259,45828172,45989016,46152926,46196277
France,60979315,61424036,61864088,62292241,62772870,63229635,63645065,64007193,64350226,64694497,65048412,65397912
Italy,56960692,56993742,57321070,57888245,58462375,58751711,59131287,59619290,60045068,60340328,60626442,60850782
Cyprus,697549,705539,715137,730367,749175,766414,778684,789269,796875,803147,839751,862011
Latvia,2364254,2345768,2331480,2319203,2306434,2294590,2281305,2270894,2261294,2248374,2074605,2042371
Lithuania,3486998,3475586,3462553,3445857,3425324,3403284,3384879,3366357,3349872,3329039,3244601,3199771
Luxembourg,439000,444050,448300,454960,461230,469086,476187,483799,493500,502066,511840,524853
Hungary,10200298,10174853,10142362,10116742,10097549,10076581,10066158,10045401,10030975,10014324,9985722,9962000
Malta,391415,394641,397296,399867,402668,405006,407810,410290,413609,414372,417617,420085
Netherlands,15987075,16105285,16192572,16258032,16305526,16334210,16357992,16405399,16485787,16574989,16655799,16730348
Austria,8020946,8063640,8100273,8142573,8201359,8254298,8282984,8318592,8355260,8375290,8404252,8443018
Poland,38253955,38242197,38218531,38190608,38173835,38157055,38125479,38115641,38135876,38167329,38200037,38208618
Portugal,10256658,10329340,10407465,10474685,10529255,10569592,10599095,10617575,10627250,10637713,10572157,10541840
Romania,22430457,21833483,21772774,21711252,21658528,21610213,21565119,21528627,21498616,21462186,21413815,21355849
Slovenia,1990094,1994026,1995033,1996433,1997590,2003358,2010377,2010269,2032362,2046976,2050189,2055496
Slovakia,5378783,5378951,5379161,5380053,5384822,5389180,5393637,5400998,5412254,5424925,5392446,5404322
Finland,5181115,5194901,5206295,5219732,5236611,5255580,5276955,5300484,5326314,5351427,5375276,5401267
Sweden,8882792,8909128,8940788,8975670,9011392,9047752,9113257,9182927,9256347,9340682,9415570,9482855
United Kingdom,58999781,59216138,59435480,59697037,60038695,60409918,60781346,61191951,61595091,62026962,62435709,NA
Iceland,283361,286575,288471,290570,293577,299891,307672,315459,319368,317630,318452,319575
Liechtenstein,32863,33525,33863,34294,34600,34905,35168,35356,35589,35894,36149,36475
Norway,4503436,4524066,4552252,4577457,4606363,4640219,4681134,4737171,4799252,4858199,4920305,4985870
Switzerland,7204055,7255653,7313853,7364148,7415102,7459128,7508739,7593494,7701856,7785806,7870134,7952555
Montenegro,614791,617085,619300,621258,622978,623576,624896,627508,630142,616411,618197,NA
Croatia,4438868,4444608,4442744,4441733,4443901,4442884,4441238,4436401,4435056,4425747,4412137,NA
"Former Yugoslav Republic of Macedonia, the",2031112,2038651,2023654,2029892,2035196,2038514,2041941,2045177,2048619,2052722,2057284,2059794
Turkey,67895581,68838069,69770026,70692009,71610009,72519974,69689256,70586256,71517100,72561312,73722988,74724269
