geo\time,2004,2005,2006,2007,2008,2009,2010,2011
EU (27 countries),NA,"25,6","25,2","24,4","23,5","23,1","23,4",NA
Euro area (17 countries),NA,"21,4","21,7","21,7","21,4","21,2","21,6",NA
Euro area (16 countries),NA,"21,3","21,7","21,7","21,4","21,2","21,6",NA
Belgium,"21,6","22,6","21,5","21,6","20,8","20,2","20,8",NA
Bulgaria,NA,NA,"61,3","60,7","38,2","46,2","41,6",NA
Czech Republic,NA,"19,6",18,"15,8","15,3",14,"14,4",NA
Denmark,"16,5","17,2","16,7","16,8","16,3","17,6","18,3",NA
Germany,NA,"18,4","20,2","20,6","20,1",20,"19,7",NA
Estonia,"26,3","25,9",22,22,"21,8","23,4","21,7",NA
Ireland,"24,8",25,"23,3","23,1","23,7","25,7","29,9",NA
Greece,"30,9","29,4","29,3","28,3","28,1","27,6","27,7",NA
Spain,"24,4","23,4","23,3","23,1","22,9","23,4","25,5",NA
France,"19,8","18,9","18,8",19,"18,6","18,5","19,2",NA
Italy,"26,4",25,"25,9","26,1","25,3","24,7","24,5",NA
Cyprus,NA,"25,3","25,4","25,2","22,4","22,9","23,6",NA
Latvia,NA,"45,8","41,4",36,"33,8","37,4","38,1","40,1"
Lithuania,NA,41,"35,9","28,7","27,6","29,5","33,4",NA
Luxembourg,"16,1","17,3","16,5","15,9","15,5","17,8","17,1",NA
Hungary,NA,"32,1","31,4","29,4","28,2","29,6","29,9",NA
Malta,NA,"20,2","19,1","19,4","19,6","20,2","20,6",NA
Netherlands,NA,"16,7",16,"15,7","14,9","15,1","15,1",NA
Austria,"17,5","16,8","17,8","16,7","18,6",17,"16,6",NA
Poland,NA,"45,3","39,5","34,4","30,5","27,8","27,8",NA
Portugal,"27,5","26,1",25,25,26,"24,9","25,3",NA
Romania,NA,NA,NA,"45,9","44,2","43,1","41,4",NA
Slovenia,NA,"18,5","17,1","17,1","18,5","17,1","18,3",NA
Slovakia,NA,32,"26,7","21,3","20,6","19,6","20,6",NA
Finland,"17,2","17,2","17,1","17,4","17,4","16,9","16,9",NA
Sweden,"16,9","14,4","16,3","13,9","14,9","15,9",15,NA
United Kingdom,NA,"24,8","23,7","22,6","23,2",22,"23,1",NA
Iceland,"13,7","13,3","12,5",13,"11,8","11,6","13,7",NA
Norway,"15,8","16,2","16,9","16,5",15,"15,2","14,9",NA
Switzerland,NA,NA,NA,NA,"18,6","17,2","17,1",NA
