geo\time,2004,2005,2006,2007,2008,2009,2010,2011
EU (27 countries),NA,123892,122688,119301,115186,113767,115716,NA
Euro area (17 countries),NA,67807,69432,69780,68991,68690,70240,NA
Euro area (16 countries),NA,67461,69139,69487,68700,68379,69951,NA
Belgium,2257,2338,2247,2261,2194,2145,2235,NA
Bulgaria,NA,NA,4734,4663,2917,3511,3145,NA
Czech Republic,NA,1988,1832,1613,1566,1448,1495,1598
Denmark,880,921,896,905,887,962,1007,NA
Germany,NA,15022,16444,16760,16345,16217,15962,NA
Estonia,352,347,293,293,291,312,289,NA
Ireland,1007,1038,991,1005,1050,1150,1335,NA
Greece,3283,3131,3154,3064,3046,3007,3031,NA
Spain,10296,10045,10155,10257,10340,10652,11675,NA
France,11597,11127,11184,11382,11195,11200,11693,NA
Italy,15285,14621,15256,15433,15099,14835,14742,NA
Cyprus,NA,188,193,195,176,182,188,NA
Latvia,NA,1017,930,803,757,834,846,884
Lithuania,NA,1400,1217,967,928,985,1109,NA
Luxembourg,71,77,74,73,72,85,83,NA
Hungary,NA,3185,3121,2916,2794,2924,2948,NA
Malta,NA,80,76,78,80,82,84,NA
Netherlands,NA,2705,2603,2558,2432,2483,2483,NA
Austria,1405,1369,1454,1376,1532,1406,1373,NA
Poland,NA,17080,14938,12958,11491,10454,10409,NA
Portugal,2876,2745,2640,2653,2757,2648,2693,NA
Romania,NA,NA,NA,9904,9418,9112,8890,8630
Slovenia,NA,362,343,335,361,339,366,386
Slovakia,NA,1724,1439,1150,1111,1061,1118,NA
Finland,885,887,886,907,910,886,890,949
Sweden,1521,1325,1489,1264,1367,1459,1418,NA
United Kingdom,NA,14530,14193,13527,14069,13389,14209,NA
Iceland,39,38,36,38,36,36,42,NA
Norway,724,746,780,764,701,724,716,NA
