geo\time,2004,2005,2006,2007,2008,2009,2010,2011
EU (27 countries),:,39112,39776,36687,34267,34222,37861,:
Euro area (17 countries),:,23593,24995,23668,22557,22037,25082,:
Euro area (16 countries),:,23494,24921,23604,22502,21980,24990,:
Belgium,1221,1244,1178,1138,967,1021,1053,:
Bulgaria,:,:,870,932,470,399,454,:
Czech Republic,:,720,723,701,581,482,520,531
Denmark,387,418,394,415,347,360,433,:
Germany,:,7294,8248,6983,7044,6538,6695,:
Estonia,101,99,74,64,55,58,92,:
Ireland,436,510,459,526,509,739,847,:
Greece,604,610,660,662,611,539,619,:
Spain,2383,2206,2073,2190,2187,2500,3510,:
France,4692,3978,4206,4485,4069,3873,4585,:
Italy,5256,4548,4803,4442,4344,3922,4514,:
Cyprus,:,27,24,24,27,25,30,:
Latvia,:,140,124,107,91,118,213,209
Lithuania,:,260,223,172,135,184,241,:
Luxembourg,22,21,19,19,18,24,22,:
Hungary,:,745,1034,893,943,870,909,:
Malta,:,31,30,30,26,27,27,:
Netherlands,:,1289,1419,1246,1053,1083,1068,:
Austria,391,418,516,523,503,461,497,:
Poland,:,4446,3862,3104,2444,2102,2211,:
Portugal,565,487,541,592,517,567,700,:
Romania,:,:,:,1466,1413,1299,1176,1135
Slovenia,:,134,109,114,105,88,111,121
Slovakia,:,296,273,281,225,243,349,:
Finland,380,401,363,350,296,329,364,389
Sweden,598,534,475,409,381,430,418,:
United Kingdom,:,5921,5610,4822,4905,5941,6206,:
Iceland,9,8,7,6,7,5,14,:
Norway,295,306,257,314,235,257,276,:
